Flex1,Flex2,Flex3,Flex4,Flex5,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
830.0,832.0,888.0,1023.0,766.0,0.04,-0.07,0.12,-0.0,0.0,0.0
830.0,833.0,888.0,1023.0,757.0,-0.02,-0.01,0.13,0.0,0.01,-0.01
829.0,832.0,888.0,1023.0,755.0,0.07,-0.04,0.1,-0.0,-0.01,-0.0
830.0,832.0,888.0,1023.0,758.0,0.05,-0.07,0.11,-0.0,0.0,-0.0
829.0,832.0,888.0,1023.0,756.0,0.04,-0.05,0.1,0.0,-0.01,0.01
830.0,832.0,887.0,1023.0,759.0,0.02,-0.02,0.03,0.0,-0.0,-0.0
829.0,832.0,888.0,1023.0,757.0,0.09,-0.08,0.07,-0.0,-0.02,0.0
830.0,832.0,887.0,1023.0,759.0,0.12,-0.07,0.06,0.0,-0.02,0.0
830.0,832.0,890.0,1023.0,752.0,0.11,-0.04,0.04,-0.01,-0.01,-0.0
829.0,832.0,889.0,1023.0,759.0,0.08,0.02,0.03,-0.0,0.01,-0.0
829.0,832.0,887.0,1023.0,743.0,0.06,0.02,0.12,0.0,0.01,-0.01
830.0,832.0,887.0,1023.0,739.0,0.14,-0.11,0.03,0.0,0.01,0.0
830.0,832.0,888.0,1023.0,741.0,0.02,-0.02,0.09,-0.0,0.01,0.0
830.0,832.0,887.0,1023.0,738.0,-0.05,0.02,0.11,0.0,-0.0,-0.0
831.0,832.0,888.0,1023.0,736.0,0.13,-0.05,0.06,-0.0,0.01,-0.0
829.0,832.0,887.0,1023.0,738.0,0.1,0.01,0.1,0.0,0.01,0.0
830.0,832.0,888.0,1023.0,740.0,0.07,-0.01,0.12,0.01,0.01,-0.0
829.0,833.0,887.0,1023.0,739.0,-0.02,-0.02,0.12,0.0,0.03,0.01
829.0,832.0,887.0,1023.0,741.0,-0.09,0.03,0.11,-0.0,0.01,0.0
830.0,833.0,887.0,1023.0,739.0,0.03,0.01,0.13,0.0,0.01,0.0
829.0,832.0,888.0,1023.0,737.0,0.03,-0.02,0.12,0.0,0.0,-0.0
830.0,832.0,887.0,1023.0,739.0,0.07,-0.02,0.1,0.0,-0.01,-0.01
830.0,832.0,888.0,1023.0,741.0,0.02,-0.0,0.15,0.0,0.0,-0.0
830.0,831.0,887.0,1023.0,739.0,0.06,-0.03,0.11,-0.0,-0.01,-0.0
829.0,832.0,888.0,1022.0,742.0,0.05,0.0,0.1,0.01,-0.02,0.01
830.0,833.0,888.0,1023.0,747.0,0.07,-0.06,0.06,0.0,0.0,-0.0
831.0,831.0,888.0,1023.0,740.0,0.06,-0.05,0.08,0.0,-0.04,-0.01
829.0,832.0,887.0,1023.0,740.0,0.02,0.12,0.15,0.38,0.14,0.11
828.0,832.0,891.0,1023.0,736.0,-0.35,0.93,0.31,0.23,0.04,-0.01
827.0,829.0,893.0,1023.0,737.0,-0.23,1.03,0.33,0.02,0.0,-0.01
827.0,829.0,894.0,1023.0,735.0,-0.12,1.02,0.33,0.01,0.01,-0.0
827.0,829.0,893.0,1023.0,734.0,-0.19,1.15,0.38,0.04,0.04,-0.0
826.0,829.0,894.0,1023.0,733.0,-0.18,1.06,0.36,-0.0,0.0,0.0
826.0,829.0,894.0,1023.0,732.0,-0.14,0.94,0.33,-0.03,-0.0,0.0
826.0,829.0,894.0,1023.0,732.0,-0.1,0.98,0.3,-0.0,-0.01,0.01
826.0,828.0,894.0,1023.0,732.0,-0.14,1.03,0.35,-0.0,0.0,-0.0
826.0,829.0,894.0,1023.0,731.0,-0.15,0.98,0.34,-0.01,0.0,0.0
826.0,829.0,895.0,1023.0,732.0,-0.12,0.91,0.33,-0.0,0.01,0.0
826.0,829.0,895.0,1023.0,730.0,-0.13,0.94,0.34,-0.01,0.01,0.0
825.0,830.0,895.0,1023.0,732.0,-0.17,0.92,0.37,-0.0,0.0,-0.0
826.0,830.0,894.0,1023.0,731.0,-0.13,0.93,0.33,-0.01,-0.01,-0.0
826.0,830.0,894.0,1023.0,732.0,-0.08,0.9,0.33,0.0,-0.0,-0.0
828.0,830.0,895.0,1023.0,731.0,-0.15,0.91,0.32,-0.0,0.01,-0.01
827.0,831.0,895.0,1023.0,732.0,-0.08,0.94,0.31,-0.01,-0.03,0.0
827.0,831.0,896.0,1023.0,731.0,-0.09,0.88,0.31,-0.0,0.0,0.0
827.0,832.0,897.0,1023.0,731.0,-0.06,0.96,0.35,-0.02,-0.01,0.01
827.0,832.0,896.0,1023.0,737.0,-0.14,0.87,0.3,-0.0,0.0,-0.0
826.0,831.0,896.0,1023.0,732.0,-0.05,0.77,0.11,-0.02,-0.06,-0.02
827.0,832.0,895.0,1023.0,731.0,-0.11,0.86,0.28,-0.0,-0.0,-0.01
827.0,832.0,895.0,1023.0,732.0,-0.15,0.88,0.32,0.0,0.01,0.0
827.0,832.0,894.0,1023.0,730.0,-0.22,0.84,0.36,0.01,-0.01,-0.0
827.0,832.0,894.0,1023.0,731.0,-0.05,0.84,0.31,-0.01,-0.01,0.0
827.0,832.0,896.0,1023.0,731.0,-0.15,0.85,0.35,-0.0,-0.0,0.0
827.0,832.0,895.0,1023.0,733.0,-0.09,0.84,0.34,-0.01,-0.01,0.0
827.0,832.0,895.0,1023.0,733.0,-0.11,0.86,0.32,-0.01,-0.0,-0.0
